,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,Label
4104,7.43595,100.0,25.1,37.6,11.6,976,937,967,958,0
4105,7.40045,100.0,25.1,37.6,11.7,967,945,970,955,0
4106,7.37063,100.0,25.1,37.6,11.6,971,946,962,957,0
4107,7.42829,100.0,25.1,37.6,11.6,956,942,962,954,0
4108,7.3907,100.0,25.1,37.5,11.6,968,940,967,957,0
4109,7.4156,100.0,25.1,37.4,11.7,975,946,978,956,0
4110,7.38243,100.0,25.1,37.3,11.6,945,939,953,977,0
4111,7.373989999999999,100.0,25.1,37.3,11.7,967,939,955,955,0
4112,7.41662,100.0,25.1,37.4,11.6,947,939,964,957,0
4113,7.42203,100.0,25.1,37.4,12.0,979,935,978,954,0
4114,7.39422,100.0,25.1,37.4,11.8,960,946,975,956,0
4115,7.3670300000000015,100.0,25.1,37.5,11.6,950,947,944,955,0
4116,7.414860000000001,100.0,25.1,37.5,11.6,963,946,958,956,0
4117,7.3914,100.0,25.1,37.6,11.6,970,946,946,954,0
4118,7.40233,100.0,25.1,37.6,11.7,950,947,937,955,0
4119,7.427939999999999,100.0,25.1,37.6,11.7,951,946,974,956,0
4120,7.375380000000002,100.0,25.1,37.5,11.7,961,946,958,975,0
4121,7.36633,100.0,25.1,37.5,11.7,965,946,976,956,0
4122,7.410189999999999,100.0,25.1,37.6,11.7,963,947,941,955,0
4123,7.39054,100.0,25.1,37.5,11.6,967,945,961,956,0
4124,7.43317,100.0,25.1,37.3,11.6,975,947,968,956,0
4125,7.401839999999999,100.0,25.1,37.3,11.6,956,947,968,954,0
4126,7.375380000000002,100.0,25.1,37.6,11.7,949,946,972,953,0
4127,7.3879100000000015,100.0,25.1,37.6,11.6,942,945,980,956,0
4128,7.42829,100.0,25.1,37.7,11.6,973,948,979,956,0
4129,7.4394300000000015,100.0,25.1,37.7,11.7,957,946,958,954,0
4130,7.38583,100.0,25.1,37.7,11.6,956,936,962,976,0
4131,7.3545,100.0,25.1,37.7,11.6,948,940,932,958,0
4132,7.380260000000002,100.0,25.1,37.6,11.7,946,936,959,955,0
4133,7.4276,100.0,25.1,37.5,11.7,964,945,970,957,0
4134,7.41437,100.0,25.1,37.5,12.0,944,945,979,957,0
4135,7.33361,100.0,25.1,37.5,11.7,955,945,966,955,0
4136,7.375380000000002,100.0,25.1,37.5,11.7,963,945,951,958,0
4137,7.4414,100.0,25.1,37.5,11.6,946,946,968,954,0
4138,7.41855,100.0,25.1,37.5,11.7,977,948,963,955,0
4139,7.4156,100.0,25.1,37.6,11.6,939,946,934,954,0
4140,7.33988,100.0,25.1,37.6,11.7,963,938,955,976,0
4141,7.432469999999999,100.0,25.1,36.4,11.7,837,957,854,960,0
4142,7.4394300000000015,100.0,25.1,36.4,11.6,874,944,845,931,0
4143,7.39717,100.0,25.1,36.3,12.1,847,939,857,955,0
4144,7.40532,100.0,25.1,36.3,11.7,839,963,864,951,0
4145,7.381689999999999,100.0,25.1,36.1,11.7,892,949,864,944,0
4146,7.4157600000000015,100.0,25.1,36.1,11.7,858,956,852,944,0
4147,7.42518,100.0,25.1,35.7,11.6,846,938,856,950,0
4148,7.395569999999997,100.0,25.1,35.8,11.6,842,949,855,947,0
4149,7.3529399999999985,100.0,25.1,35.8,11.6,848,967,856,955,0
4150,7.40114,100.0,25.1,35.9,11.7,849,937,854,930,0
4151,7.45127,100.0,25.1,36.4,11.6,838,970,860,948,0
4152,7.39905,100.0,25.1,36.6,11.6,861,959,846,952,0
4153,7.31412,100.0,25.1,36.7,11.6,854,951,841,937,0
4154,7.39348,100.0,25.1,36.8,11.8,860,965,872,952,0
4155,7.447089999999997,100.0,25.1,37.0,11.7,849,947,841,962,0
4156,7.3839,100.0,25.1,37.2,11.6,848,970,860,965,0
4157,7.4554399999999985,100.0,25.1,37.2,11.7,839,960,851,933,0
4158,7.43456,100.0,25.0,37.2,11.6,837,955,809,967,0
4159,7.4276,100.0,25.1,37.2,11.7,872,952,848,952,0
4160,7.38243,100.0,25.0,37.1,11.6,868,945,857,931,0
4161,7.39209,100.0,25.0,37.1,11.7,856,967,863,935,0
4162,7.46937,100.0,25.0,37.1,11.6,855,953,860,963,0
4163,7.36424,100.0,25.0,37.1,11.6,855,964,851,951,0
4164,7.338489999999997,100.0,25.0,37.4,11.6,844,938,852,957,0
4165,7.38443,100.0,25.0,37.4,11.7,847,960,845,936,0
4166,7.4095,100.0,25.0,37.4,11.6,854,949,868,947,0
4167,7.446389999999999,100.0,25.0,37.5,11.7,847,949,841,962,0
4168,7.40602,100.0,25.0,37.5,11.6,852,956,852,948,0
4169,7.361460000000001,100.0,25.0,37.6,11.6,862,956,850,950,0
4170,7.3830399999999985,100.0,25.0,37.6,11.6,875,965,843,912,0
4171,7.3914,100.0,25.0,37.6,11.6,860,960,873,944,0
4172,7.4038,100.0,25.0,37.3,11.7,843,968,836,951,0
4173,7.38652,100.0,25.0,37.3,11.7,867,969,857,935,0
4174,7.388610000000001,100.0,25.0,37.4,11.6,840,967,836,956,0
4175,7.42829,100.0,25.0,37.4,11.6,865,962,854,932,0
4176,7.34197,100.0,25.1,37.4,11.5,839,956,855,957,0
4177,7.4032300000000015,100.0,25.0,37.4,11.5,853,955,866,954,0
4178,7.40159,100.0,25.1,37.5,11.5,854,956,862,932,0
4179,7.3776100000000016,100.0,25.1,37.6,11.7,853,956,854,949,0
4180,7.4394300000000015,100.0,25.1,37.6,12.0,878,950,841,932,0
4181,7.39422,100.0,25.1,37.7,11.6,854,935,833,943,0
4182,7.346139999999999,100.0,25.1,37.8,11.7,882,946,855,950,0
4183,7.424810000000001,100.0,25.1,37.8,11.6,834,968,835,938,0
4184,7.4443100000000015,100.0,25.1,37.9,11.6,855,974,841,936,0
4185,7.3879100000000015,100.0,25.1,37.8,11.7,869,955,842,966,0
4186,7.416460000000002,100.0,25.1,37.8,11.6,844,935,847,966,0
4187,7.41928,100.0,25.1,37.7,11.6,877,950,856,934,0
4188,7.36912,100.0,25.1,37.5,11.8,831,959,853,947,0
4189,7.382339999999999,100.0,25.1,37.5,11.6,860,967,847,939,0
4190,7.400639999999999,100.0,25.1,37.6,11.7,800,937,826,918,0
4191,7.30032,100.0,24.9,36.9,151.9,945,978,941,966,1
4192,7.71387,90.0,24.9,37.5,12.8,960,978,964,968,0
4193,7.79657,90.0,24.9,37.6,12.9,954,979,970,967,0
4194,7.7957800000000015,90.0,24.9,37.7,13.0,953,976,958,968,0
4195,7.82832,90.0,24.9,37.7,12.9,955,977,965,968,0
4196,7.80117,90.0,24.9,37.8,12.9,950,978,937,969,0
4197,7.829389999999999,90.0,25.0,37.8,12.9,942,976,940,969,0
4198,7.79967,90.0,24.9,37.8,12.9,947,977,937,967,0
4199,7.75846,90.0,24.9,37.9,12.9,955,977,945,968,0
4200,7.7439300000000015,90.0,24.9,37.9,12.9,969,978,962,967,0
4201,7.828189999999997,90.0,24.9,37.9,12.8,935,978,963,967,0
4202,7.83166,90.0,24.9,37.9,13.2,959,979,948,968,0
4203,7.81868,90.0,24.9,37.9,12.9,950,978,942,968,0
4204,7.793189999999999,90.0,24.9,37.9,12.9,959,978,964,967,0
4205,7.74523,90.0,24.9,37.9,12.9,973,979,969,969,0
4206,7.8538,90.0,25.0,38.0,31.2,962,976,951,968,0
4207,7.80284,90.0,25.0,38.0,12.9,957,979,929,967,0
4208,7.77504,90.0,24.9,38.0,12.8,949,977,933,968,0
4209,7.84634,90.0,24.8,38.0,12.8,963,979,964,967,0
4210,7.439210000000001,100.0,23.6,39.7,13.2,834,954,895,950,0
4211,7.44598,100.0,23.6,39.8,13.2,830,956,904,950,0
4212,7.374519999999999,100.0,23.6,39.8,13.1,866,952,857,949,0
4213,7.274610000000001,100.0,23.5,39.8,13.2,855,955,852,949,1
4214,7.528689999999999,100.0,23.5,39.9,13.1,839,953,875,951,0
4215,7.25259,100.0,23.5,39.8,13.2,856,953,853,952,1
4216,7.45383,100.0,23.5,39.8,13.4,873,940,858,950,0
4217,7.46393,100.0,23.5,39.7,13.2,828,944,886,950,0
4218,7.49275,100.0,23.7,38.6,13.3,867,953,849,950,0
4219,7.42667,100.0,23.5,38.4,13.1,865,955,852,952,0
4220,7.348439999999999,100.0,23.6,38.0,13.3,807,953,890,950,0
4221,7.415839999999997,100.0,23.6,38.3,13.1,825,954,897,954,0
4222,7.273589999999999,100.0,23.7,38.9,13.2,835,955,880,951,1
4223,7.49644,100.0,23.7,39.5,426.3,830,953,872,953,0
4224,7.39958,100.0,23.7,39.6,13.2,831,942,880,959,0
4225,7.47951,100.0,23.7,39.7,13.1,864,947,854,957,0
4226,7.37568,100.0,23.7,39.8,13.2,828,955,880,958,0
4227,7.40253,100.0,24.3,39.9,12.0,950,929,956,962,0
4228,7.42118,100.0,24.3,39.9,11.6,928,933,922,959,0
4229,7.3948800000000015,100.0,24.3,39.9,11.6,931,929,933,959,1
4230,7.35985,100.0,24.3,39.8,11.6,929,931,925,960,0
4231,7.410189999999999,100.0,24.3,39.8,11.6,957,931,953,960,1
4232,7.49304,100.0,24.3,39.8,11.6,950,930,954,959,0
4233,7.42665,100.0,24.3,39.9,11.6,953,928,959,960,0
4234,7.37765,100.0,24.3,39.8,12.1,950,929,952,960,0
4235,7.39085,100.0,24.3,39.8,11.5,948,931,964,959,1
4236,7.404619999999999,100.0,24.3,39.7,11.6,947,917,949,962,0
4237,7.371760000000001,100.0,24.3,39.7,11.5,915,929,944,962,0
4238,7.40393,100.0,24.3,39.8,12.0,942,930,955,962,0
4239,7.37678,100.0,24.4,39.9,11.7,915,932,906,961,0
4240,7.34336,100.0,24.4,39.9,11.6,919,931,950,961,0
4241,7.41327,100.0,24.4,39.9,11.6,902,930,883,962,1
4242,7.43693,100.0,24.4,40.1,11.5,946,929,920,961,0
